date;is_throttled;freq;temp;volt
Thu 26 Jan 20:14:02 CET 2023;throttled=0xe0008;600Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:14:04 CET 2023;throttled=0xe0008;600Mhz;temp=83.7'C;volt=0.9089V
Thu 26 Jan 20:14:06 CET 2023;throttled=0xe0008;1629Mhz;temp=85.2'C;volt=0.8984V
Thu 26 Jan 20:14:08 CET 2023;throttled=0xe0008;1629Mhz;temp=85.7'C;volt=0.8984V
Thu 26 Jan 20:14:11 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:14:13 CET 2023;throttled=0xe0008;1580Mhz;temp=83.2'C;volt=0.8876V
Thu 26 Jan 20:14:15 CET 2023;throttled=0xe0008;1629Mhz;temp=83.7'C;volt=0.8768V
Thu 26 Jan 20:14:17 CET 2023;throttled=0xe0008;1629Mhz;temp=83.7'C;volt=0.8768V
Thu 26 Jan 20:14:19 CET 2023;throttled=0xe0008;1531Mhz;temp=84.7'C;volt=0.8876V
Thu 26 Jan 20:14:21 CET 2023;throttled=0xe0008;1531Mhz;temp=83.7'C;volt=0.8876V
Thu 26 Jan 20:14:24 CET 2023;throttled=0xe0008;1629Mhz;temp=83.7'C;volt=0.8876V
Thu 26 Jan 20:14:26 CET 2023;throttled=0xe0008;1580Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:14:28 CET 2023;throttled=0xe0008;1580Mhz;temp=83.2'C;volt=0.8876V
Thu 26 Jan 20:14:30 CET 2023;throttled=0xe0008;1580Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:14:32 CET 2023;throttled=0xe0008;600Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:14:35 CET 2023;throttled=0xe0008;1677Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:14:37 CET 2023;throttled=0xe0008;600Mhz;temp=83.2'C;volt=0.8984V
Thu 26 Jan 20:14:39 CET 2023;throttled=0xe0008;1629Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:14:41 CET 2023;throttled=0xe0008;1629Mhz;temp=84.7'C;volt=0.8876V
Thu 26 Jan 20:14:43 CET 2023;throttled=0xe0008;1531Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:14:45 CET 2023;throttled=0xe0008;1629Mhz;temp=83.7'C;volt=0.8984V
Thu 26 Jan 20:14:48 CET 2023;throttled=0xe0008;1677Mhz;temp=83.7'C;volt=0.8984V
